Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
13	259	2.91e-13	12.5	5.53	1.51	17.5	37	2.58	14.2	42.9	297	-0.652	15.4	39.5	163
12	118	2.38e-07	6.62	5.07	-0.652	-1.98	67	1.43	0.449	68.5	267	-0.652	11	72	113
11	102	1.37e-06	5.86	5.18	34	19.7	4.5	39.2	16	2.97	306	47	11	-3	160
10	64	0.000164	3.79	5.37	-46.2	13.2	4.5	-48.3	11.3	3.3	272	-44	13.2	4.5	159
9	62	0.000215	3.67	5.25	-13.7	-84.3	-0.5	-11.3	-89.8	1.02	336	-9.32	-95.2	2	164
8	51	0.00103	2.99	4.48	34	43.5	39.5	35	41.4	39.1	206	40.5	39.2	32	116
7	46	0.00217	2.66	4.17	-61.3	-36.7	37	-62.7	-36.7	38.6	135	-65.7	-41	27	86.1
6	38	0.00761	2.12	4.81	12.3	-56.2	77	18.2	-52	76.1	162	12.3	-56.2	77	102
5	35	0.0124	1.91	4.94	-9.32	-17.1	32	-9.22	-12.8	34.1	125	-9.32	-17.1	32	87
4	34	0.0147	1.83	4.09	-28.8	26.2	2	-30.7	23	-1.74	134	-31	21.9	-8	102
3	32	0.0206	1.69	4.2	27.5	-8.48	47	25.8	-6.83	47.4	82	27.5	-8.48	47	65.9
2	32	0.0206	1.69	4.98	-31	37	39.5	-31.9	37.4	38.7	120	-31	39.2	39.5	86.7
1	28	0.0411	1.39	4.42	-46.2	-6.31	52	-45.8	-5.8	54	208	-46.2	-6.31	52	139
