Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
18	665	5.77e-27	26.2	10.8	47	-64.8	4.5	50.6	-65.6	11.2	533	47	-64.8	4.5	168
17	653	1.26e-26	25.9	7.28	12.3	-95.2	19.5	4.84	-87.4	4.35	650	-28.8	-77.8	-20.5	202
16	627	6.99e-26	25.2	8.34	-46.2	-73.5	12	-46.6	-77.2	13.3	511	-33.2	-95.2	7	164
15	297	2.94e-15	14.5	5.66	49.2	-56.2	-18	31.1	-61.9	-13.5	376	14.5	-73.5	-13	202
14	174	2.53e-10	9.6	5.22	-26.7	-90.8	37	-22.7	-77	50.7	387	-24.5	-77.8	59.5	184
13	133	1.96e-08	7.71	5.37	55.7	34.9	27	50.2	22.1	37.5	247	55.7	26.2	34.5	140
12	119	1.19e-07	6.92	4.31	38.4	-69.2	52	25.3	-74.8	58.8	349	23.2	-77.8	62	208
11	97	1.31e-06	5.88	5.4	34	60.9	9.5	29.1	60.7	11.9	580	29.7	58.7	7	256
10	87	4.65e-06	5.33	5.22	-44	-58.3	-20.5	-41.2	-55.7	-17.8	318	-41.8	-60.5	-20.5	159
9	77	1.71e-05	4.77	4.31	5.85	-62.7	62	0.234	-64.7	56.6	278	1.51	-62.7	62	165
8	71	3.85e-05	4.41	4.73	64.4	28.4	-3	68.4	22.3	-3.37	131	62.2	28.4	-5.5	81.5
7	61	0.000157	3.8	3.89	-4.99	-56.2	69.5	-7.84	-57.6	69.1	450	-2.82	-56.2	69.5	207
6	46	0.00151	2.82	4.21	-48.3	41.4	7	-44.7	43.8	5.52	415	-35.3	50	7	252
5	45	0.00177	2.75	4.49	25.4	26.2	34.5	28.9	23.6	36.2	134	34	19.7	37	104
4	36	0.0078	2.11	4.57	-72.2	11	-0.5	-71.1	13.9	-0.418	92.8	-70	19.7	-0.5	77.1
3	30	0.0224	1.65	4.11	3.68	11	-3	5.21	14.7	-1.12	238	3.68	19.7	-0.5	173
2	29	0.0268	1.57	5.76	-26.7	-77.8	-5.5	-26.6	-78	-5.53	235	-26.7	-77.8	-5.5	152
1	29	0.0268	1.57	4.15	53.5	-41	-10.5	53.2	-40.1	-11.3	168	53.5	-43.2	-10.5	127
