Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
10	1848	0	49.1	8.69	8.02	-75.7	-8	17.2	-81.1	2.11	823	8.02	-73.5	-8	233
9	122	3.58e-07	6.45	4.26	-2.82	24	49.5	-7.23	22	44.7	255	-2.82	24	47	134
8	107	1.73e-06	5.76	4.97	47	-47.5	49.5	42	-47	50.2	263	44.9	-45.3	52	166
7	86	1.9e-05	4.72	4.19	38.4	13.2	-3	37.3	18.9	-3.43	223	38.4	21.9	-3	167
6	63	0.000325	3.49	4.98	-39.7	-84.3	29.5	-34.5	-84.1	31.1	291	-28.8	-90.8	34.5	153
5	63	0.000325	3.49	4.68	-35.3	21.9	29.5	-39.4	32.5	32.2	261	-37.5	50	29.5	124
4	60	0.000482	3.32	3.91	-46.2	4.52	37	-43.6	6.48	35.2	272	-48.3	8.86	37	188
3	44	0.00447	2.35	4.04	-52.7	-69.2	-13	-48.4	-71.5	-10.3	298	-52.7	-69.2	-15.5	142
2	43	0.00518	2.29	4.49	-37.5	8.86	-0.5	-38.9	12.1	-2.66	348	-41.8	11	-5.5	196
1	41	0.00698	2.16	4.23	49.2	13.2	12	47.7	7.87	16.8	265	49.2	6.69	19.5	160
