Video,Entropy,Top_10_Percent_Mass,Peak_Density
Back-no-00.mp4,13.446181,0.6267479,1.0305488e-05
Back-no-01.mp4,13.444046,0.6288701,1.0492413e-05
Back-no-02.mp4,13.441364,0.62933385,1.0099927e-05
Back-no-03.mp4,13.422405,0.63707936,9.875134e-06
Back-no-04.mp4,13.431702,0.6367931,1.2529404e-05
Back-yes-00.mp4,13.244812,0.6907221,1.3722806e-05
Back-yes-01.mp4,13.280985,0.68471634,1.4817142e-05
Back-yes-02.mp4,13.299019,0.6827799,1.1392171e-05
Back-yes-03.mp4,13.164425,0.70912606,1.7585231e-05
Back-yes-04.mp4,13.309517,0.67558,1.2279104e-05
Person-no-00.mp4,13.379474,0.6444849,1.4428274e-05
Person-no-01.mp4,13.303055,0.67545706,1.1178233e-05
Person-no-02.mp4,13.3594055,0.6572119,9.188213e-06
Person-no-03.mp4,13.465969,0.6177882,9.710772e-06
Person-no-04.mp4,13.403338,0.634163,1.1012447e-05
Person-yes-00.mp4,13.391277,0.6341429,1.0592118e-05
Person-yes-01.mp4,13.397846,0.6354418,1.1141967e-05
Person-yes-02.mp4,13.446747,0.62258685,1.12034095e-05
Person-yes-03.mp4,13.368765,0.6427426,1.0776669e-05
Person-yes-04.mp4,13.46966,0.6091404,1.0911232e-05
View-no-00.mp4,13.137081,0.70264816,1.5304237e-05
View-no-01.mp4,13.127168,0.70231354,1.6752838e-05
View-no-02.mp4,13.12515,0.70605195,1.6662914e-05
View-no-03.mp4,13.169732,0.69095886,1.6347667e-05
View-no-04.mp4,13.085115,0.7163787,1.9709161e-05
View-yes-00.mp4,13.474142,0.625667,1.169534e-05
View-yes-01.mp4,13.484695,0.6172411,1.3252436e-05
View-yes-02.mp4,13.487999,0.6158298,1.4493558e-05
View-yes-03.mp4,13.548292,0.59724975,1.2100961e-05
View-yes-04.mp4,13.560398,0.5889287,1.1328878e-05
